sign_id,week_label,content
aries,"Week of June 16, 2026","This week brings a surge of fresh energy and bold opportunities. Take initiative early in the week — Mars favours quick decisions and new starts.

Mid-week, slow down and review financial commitments before making large purchases. By the weekend, your social circle expands and a long-standing friendship deepens."
taurus,"Week of June 16, 2026","Steady progress in career matters this week. A mentor or senior colleague offers guidance worth following — listen more than you speak in meetings.

Relationships call for patience; avoid stubbornness mid-week. Saturday is excellent for grounding rituals or quiet time in nature."
gemini,"Week of June 16, 2026","Communication is your strength this week. Important conversations land well, and new ideas flow easily — write them down before they slip away.

Be mindful of overcommitting — your schedule may fill faster than expected. Sunday offers time for reflection and gentle self-care."
cancer,"Week of June 16, 2026","Home and family take centre stage. A small gesture toward a loved one returns multiplied; consider hosting a simple gathering mid-week.

Trust your intuition on a financial decision the cosmos is nudging you toward. Avoid emotional spending on Friday."
leo,"Week of June 16, 2026","Creative projects gain momentum this week — the Sun aligns favourably with your sign and visibility increases at work or online.

Romance is highlighted Wednesday onwards. Stay generous but guard against burnout; rest before the weekend's social pull."
virgo,"Week of June 16, 2026","Detail-oriented work pays off. A long-pending task finally closes — celebrate quietly before the next round of responsibilities arrives.

Health benefits from a small routine change: more water, less screen time after dusk. Connections with siblings or close friends warm up."
libra,"Week of June 16, 2026","Partnerships are the theme. A business or personal alliance shifts gear — clarity about boundaries this week prevents friction next month.

Aesthetic pursuits bring joy: redesign a small corner of your home, or invest in a creative class you've been considering."
scorpio,"Week of June 16, 2026","Deep transformation continues. A power struggle resolves in your favour mid-week — handle the outcome with grace, not vindication.

Financial matters need a clear head; postpone major commitments until Saturday's clearer planetary picture."
sagittarius,"Week of June 16, 2026","Travel, study, and big-picture thinking dominate. A learning opportunity arrives — say yes even if the timing feels inconvenient.

Mid-week, an honest conversation clears the air with a friend. Sunday is excellent for outdoor activity or a short trip."
capricorn,"Week of June 16, 2026","Career milestones approach. A senior figure recognises your consistent effort — be ready to articulate your next ambition clearly.

Balance work with rest; the weekend favours family time and grounding rituals. Avoid overworking on Friday."
aquarius,"Week of June 16, 2026","Innovative ideas flow this week. Collaborate with someone whose style differs from yours — the contrast sparks unexpected breakthroughs.

Social events bring valuable connections, but choose depth over breadth. Sunday is a good day for meditation or a digital detox."
pisces,"Week of June 16, 2026","Intuition is at a high point. Trust the quiet inner nudge over the loud external advice this week, especially around career direction.

Creative and spiritual practices nourish you mid-week. A water-related activity (bath, swim, or sea trip) restores energy by Sunday."
